country,band,value,year
Brazil,1800,0,2016
Brazil,2100,0,2016
Brazil,2300,0,2016
Brazil,2600,0,2016
Brazil,3400,0,2016
Brazil,3600,0,2016
Bulgaria,700,0,2016
Bulgaria,800,0,2016
Bulgaria,900,0,2016
Bulgaria,1500,0,2016
Bulgaria,1800,0,2016
Bulgaria,2100,0,2016
Bulgaria,2300,0,2016
Bulgaria,2600,0,2016
Bulgaria,3400,0,2016
Bulgaria,3600,0,2016
Chile,700,0,2016
Chile,800,0,2016
Chile,900,0,2016
Chile,1500,0,2016
Chile,1800,0,2016
Chile,2100,0,2016
Chile,2300,0,2016
Chile,2600,0,2016
Chile,3400,0,2016
Chile,3600,0,2016
Colombia,700,0,2016
Colombia,800,0,2016
Colombia,900,0,2016
Colombia,1500,0,2016
Colombia,1800,0,2016
Colombia,2100,0,2016
Colombia,2300,0,2016
Colombia,2600,0,2016
Colombia,3400,0,2016
Colombia,3600,0,2016
Costa Rica,700,0,2016
Costa Rica,800,0,2016
Costa Rica,900,0,2016
Costa Rica,1500,0,2016
Costa Rica,1800,0,2016
Costa Rica,2100,0,2016
Costa Rica,2300,0,2016
Costa Rica,2600,0,2016
Costa Rica,3400,0,2016
Costa Rica,3600,0,2016
Croatia,700,0,2016
Croatia,800,0,2016
Croatia,900,0,2016
Croatia,1500,0,2016
Croatia,1800,0,2016
Croatia,2100,0,2016
Croatia,2300,0,2016
Croatia,2600,0,2016
Croatia,3400,0,2016
Croatia,3600,0,2016
Cyprus,700,0,2016
Cyprus,800,0.112007794,2016
Cyprus,900,0,2016
Cyprus,1500,0,2016
Cyprus,1800,0,2016
Cyprus,2100,0,2016
Cyprus,2300,0,2016
Cyprus,2600,0,2016
Cyprus,3400,0,2016
Cyprus,3600,0,2016
Czech Republic,700,0,2016
Czech Republic,800,0,2016
Czech Republic,900,0,2016
Czech Republic,1500,0,2016
Czech Republic,1800,0.319403004,2016
Czech Republic,2100,0,2016
Czech Republic,2300,0,2016
Czech Republic,2600,0.145162161,2016
Czech Republic,3400,0,2016
Czech Republic,3600,0,2016
Denmark,700,0,2016
Denmark,800,0,2016
Denmark,900,0,2016
Denmark,1500,0,2016
Denmark,1800,0.206677002,2016
Denmark,2100,0,2016
Denmark,2300,0,2016
Denmark,2600,0,2016
Denmark,3400,0,2016
Denmark,3600,0,2016
Dominican Republic,700,0,2016
Dominican Republic,800,0,2016
Dominican Republic,900,0,2016
Dominican Republic,1500,0,2016
Dominican Republic,1800,0,2016
Dominican Republic,2100,0,2016
Dominican Republic,2300,0,2016
Dominican Republic,2600,0,2016
Dominican Republic,3400,0,2016
Dominican Republic,3600,0,2016
Ecuador,700,0,2016
Ecuador,800,0,2016
Ecuador,900,0,2016
Ecuador,1500,0,2016
Ecuador,1800,0,2016
Ecuador,2100,0,2016
Ecuador,2300,0,2016
Ecuador,2600,0,2016
Ecuador,3400,0,2016
Ecuador,3600,0,2016
Estonia,700,0,2016
Estonia,800,0,2016
Estonia,900,0,2016
Estonia,1500,0,2016
Estonia,1800,0,2016
Estonia,2100,0,2016
Estonia,2300,0,2016
Estonia,2600,0,2016
Estonia,3400,0,2016
Estonia,3600,0,2016
Fiji,700,0,2016
Fiji,800,0,2016
Fiji,900,0,2016
Fiji,1500,0,2016
Fiji,1800,0,2016
Fiji,2100,0,2016
Fiji,2300,0,2016
Fiji,2600,0,2016
Fiji,3400,0,2016
Fiji,3600,0,2016
Finland,700,0.227653346,2016
Finland,800,0,2016
Finland,900,0,2016
Finland,1500,0,2016
Finland,1800,0,2016
Finland,2100,0,2016
Finland,2300,0,2016
Finland,2600,0,2016
Finland,3400,0,2016
Finland,3600,0,2016
France,700,0,2016
France,800,0,2016
France,900,0,2016
France,1500,0,2016
France,1800,0,2016
France,2100,0,2016
France,2300,0,2016
France,2600,0,2016
France,3400,0,2016
France,3600,0,2016
Georgia,700,0,2016
Georgia,800,0,2016
Georgia,900,0,2016
Georgia,1500,0,2016
Georgia,1800,0,2016
Georgia,2100,0,2016
Georgia,2300,0,2016
Georgia,2600,0,2016
Georgia,3400,0,2016
Georgia,3600,0,2016
Germany,700,0,2016
Germany,800,0,2016
Germany,900,0,2016
Germany,1500,0,2016
Germany,1800,0,2016
Germany,2100,0,2016
Germany,2300,0,2016
Germany,2600,0,2016
Germany,3400,0,2016
Germany,3600,0,2016
Greece,700,0,2016
Greece,800,0,2016
Greece,900,0,2016
Greece,1500,0,2016
Greece,1800,0,2016
Greece,2100,0,2016
Greece,2300,0,2016
Greece,2600,0,2016
Greece,3400,0,2016
Greece,3600,0,2016
Honduras,700,0,2016
Honduras,800,0,2016
Honduras,900,0,2016
Honduras,1500,0,2016
Honduras,1800,0,2016
